scenario,lambda_0,lambda_1,student_id,raw_destination_course,reported_destination_course,preference_satisfied,representative_policy
BASE_DRAFT,1.0,1.0,SYN-0018,1M-A,1M-A,True,draft_reference_verified_at_certified_optimum
BASE_DRAFT,1.0,1.0,SYN-0019,1M-A,1M-A,True,draft_reference_verified_at_certified_optimum
BASE_DRAFT,1.0,1.0,SYN-0020,1M-C,1M-A,True,draft_reference_verified_at_certified_optimum
BASE_DRAFT,1.0,1.0,SYN-0021,1M-A,1M-C,True,draft_reference_verified_at_certified_optimum
BASE_DRAFT,1.0,1.0,SYN-0022,1M-A,1M-C,True,draft_reference_verified_at_certified_optimum
BASE_DRAFT,1.0,1.0,SYN-0023,1M-C,1M-C,True,draft_reference_verified_at_certified_optimum
BASE_DRAFT,1.0,1.0,SYN-0024,1M-B,1M-B,True,draft_reference_verified_at_certified_optimum
BASE_DRAFT,1.0,1.0,SYN-0025,1M-B,1M-B,True,draft_reference_verified_at_certified_optimum
BASE_DRAFT,1.0,1.0,SYN-0026,1M-B,1M-B,True,draft_reference_verified_at_certified_optimum
BASE_DRAFT,1.0,1.0,SYN-0027,1M-A,1M-B,True,draft_reference_verified_at_certified_optimum
PREF_2X,1.0,0.5,SYN-0001,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0002,1M-A,1M-B,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0003,1M-A,1M-B,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0004,1M-A,1M-B,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0005,1M-B,1M-C,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0006,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0007,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0008,1M-B,1M-C,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0009,1M-B,1M-C,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0010,1M-A,1M-B,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0011,1M-A,1M-B,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0012,1M-A,1M-B,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0013,1M-B,1M-C,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0014,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0015,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0016,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0017,1M-A,1M-B,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0018,1M-B,1M-C,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0019,1M-A,1M-B,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0020,1M-A,1M-B,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0021,1M-B,1M-C,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0022,1M-B,1M-C,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0023,1M-B,1M-C,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0024,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0025,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0026,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_2X,1.0,0.5,SYN-0027,1M-B,1M-C,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0001,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0002,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0003,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0004,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0005,1M-A,1M-C,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0006,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0007,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0008,1M-A,1M-C,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0009,1M-A,1M-C,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0010,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0011,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0012,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0013,1M-A,1M-C,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0014,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0015,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0016,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0017,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0018,1M-A,1M-C,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0019,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0020,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0021,1M-A,1M-C,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0022,1M-A,1M-C,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0023,1M-A,1M-C,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0024,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0025,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0026,1M-C,1M-A,True,solver_solution_with_destination_relabeling
PREF_4X,1.0,0.25,SYN-0027,1M-A,1M-C,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0001,1M-A,1M-A,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0002,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0003,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0004,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0005,1M-C,1M-C,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0006,1M-A,1M-A,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0007,1M-A,1M-A,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0008,1M-C,1M-C,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0009,1M-C,1M-C,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0010,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0011,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0012,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0013,1M-C,1M-C,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0014,1M-A,1M-A,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0015,1M-A,1M-A,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0016,1M-A,1M-A,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0017,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0018,1M-C,1M-C,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0019,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0020,1M-B,1M-B,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0021,1M-C,1M-C,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0022,1M-C,1M-C,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0023,1M-C,1M-C,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0024,1M-A,1M-A,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0025,1M-A,1M-A,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0026,1M-A,1M-A,True,solver_solution_with_destination_relabeling
PREF_10X,1.0,0.1,SYN-0027,1M-C,1M-C,True,solver_solution_with_destination_relabeling
